column_name,data_type,is_nullable,column_default
id,uuid,NO,null
updated_at,timestamp with time zone,YES,now()
riot_game_name,text,YES,null
riot_tag_line,text,YES,null
puuid,text,YES,null
riot_region,text,YES,'EUNE'::text
main_role,text,YES,null
bio,text,YES,null
avatar_url,text,YES,null
last_seen,timestamp with time zone,YES,now()
solo_rank,text,YES,'UNRANKED'::text
flex_rank,text,YES,'UNRANKED'::text
language,text,YES,null
preferred_queue,text,YES,'SOLO'::text
has_mic,boolean,YES,true
is_paused,boolean,YES,false
discord_id,text,YES,null
discord_username,text,YES,null
enabled_games,text,YES,'LOL'::text
tft_rank,text,YES,'UNRANKED'::text
tft_bio,text,YES,null
tft_preferred_queue,text,YES,null
val_game_name,text,YES,null
val_tag_line,text,YES,null
val_puuid,text,YES,null
val_region,text,YES,null
val_bio,text,YES,null
val_main_role,text,YES,null
val_preferred_queue,text,YES,null
val_rank,text,YES,'UNRANKED'::text
display_name,text,YES,null
val_top_agents,text,YES,null
